#,CHIP,txfe,,,,,,,
#,CHIP TxMODE,371,,,,,,,
#,CHIP RxMODE,239,,,,,,,
#,fDAC,11796.48,,,,,,,
#,fADC,5898.24,,,,,,,
#,signalpower,10,,,,,,,
#,board,AD9081_FMCA_EBZ_RevB_50ohmLAM_bestBET,,,,,,,
#,dieversion,R1,,,,,,,
#,adcchannel,1,,,,,,,
#,Balun,MARKI,,,,,,,
FIN [Hz],NPTS,Sample Rate [MHz],DC Mag [dBFS],Fund Freq [MHz],Fund Mag [dBFS],dBtomagnitude,O/P Fullscale to 1,Invert to get A,Invert O/P Fullscal to 1 to get  A
2037760000,65536,1,-74.576,0.345,-1.412,0.849962959,1.176521858,1.176521858,0.849962959
2048000000,65536,1,-76.803,0.347,-1.425,0.848691788,1.178284053,1.178284053,0.848691788
2058240000,65536,1,-77.432,0.349,-1.416,0.849571627,1.177063791,1.177063791,0.849571627
2068480000,65536,1,-75.026,0.351,-1.417,0.849473822,1.177199313,1.177199313,0.849473822
2078720000,65536,1,-74.276,0.352,-1.41,0.850158693,1.176250985,1.176250985,0.850158693
2088960000,65536,1,-76.984,0.354,-1.414,0.849767271,1.176792793,1.176792793,0.849767271
2099200000,65536,1,-73.389,0.356,-1.422,0.848984967,1.177877159,1.177877159,0.848984967
2109440000,65536,1,-73.616,0.358,-1.439,0.84732496,1.180184754,1.180184754,0.84732496
2119680000,65536,1,-75.669,0.359,-1.46,0.845278845,1.183041556,1.183041556,0.845278845
2129920000,65536,1,-77.424,0.361,-1.471,0.844209043,1.184540734,1.184540734,0.844209043
2140160000,65536,1,-77.633,0.363,-1.5,0.841395142,1.188502227,1.188502227,0.841395142
2150400000,65536,1,-75.152,0.365,-1.497,0.841685799,1.188091804,1.188091804,0.841685799
2160640000,65536,1,-76.152,0.366,-1.496,0.841782708,1.187955028,1.187955028,0.841782708
2170880000,65536,1,-76.415,0.368,-1.503,0.841104584,1.188912792,1.188912792,0.841104584
2181120000,65536,1,-76.037,0.37,-1.499,0.841492016,1.188365404,1.188365404,0.841492016
2191360000,65536,1,-75.841,0.372,-1.524,0.83907349,1.191790722,1.191790722,0.83907349
2201600000,65536,1,-75.536,0.373,-1.562,0.835410636,1.197016123,1.197016123,0.835410636
2211840000,65536,1,-79.345,0.375,-1.615,0.830328606,1.204342466,1.204342466,0.830328606
2222080000,65536,1,-77.148,0.377,-1.655,0.826513592,1.209901458,1.209901458,0.826513592
2232320000,65536,1,-75.904,0.378,-1.683,0.823853517,1.213808013,1.213808013,0.823853517
2242560000,65536,1,-73.166,0.38,-1.663,0.825752695,1.211016332,1.211016332,0.825752695
2252800000,65536,1,-77.271,0.382,-1.639,0.82803749,1.207674788,1.207674788,0.82803749
2263040000,65536,1,-76.104,0.384,-1.613,0.830519818,1.204065187,1.204065187,0.830519818
2273280000,65536,1,-75.38,0.385,-1.596,0.832146901,1.201710899,1.201710899,0.832146901
2283520000,65536,1,-76.484,0.387,-1.614,0.830424206,1.204203818,1.204203818,0.830424206
2293760000,65536,1,-75.406,0.389,-1.636,0.828323533,1.207257744,1.207257744,0.828323533
2304000000,65536,1,-76.378,0.391,-1.669,0.825182483,1.211853161,1.211853161,0.825182483
2314240000,65536,1,-76.008,0.392,-1.683,0.823853517,1.213808013,1.213808013,0.823853517
2324480000,65536,1,-78.348,0.394,-1.696,0.822621394,1.215626055,1.215626055,0.822621394
2334720000,65536,1,-74.523,0.396,-1.684,0.823758673,1.213947765,1.213947765,0.823758673
2344960000,65536,1,-77.626,0.398,-1.651,0.826894303,1.209344406,1.209344406,0.826894303
2355200000,65536,1,-73.415,0.399,-1.628,0.829086799,1.206146331,1.206146331,0.829086799
2365440000,65536,1,-70.406,0.401,-1.619,0.829946313,1.204897213,1.204897213,0.829946313
2375680000,65536,1,-72.522,0.403,-1.607,0.831093719,1.203233736,1.203233736,0.831093719
2385920000,65536,1,-74.315,0.405,-1.623,0.829564197,1.205452217,1.205452217,0.829564197
2396160000,65536,1,-77.53,0.406,-1.673,0.82480256,1.212411369,1.212411369,0.82480256
2406400000,65536,1,-76.384,0.408,-1.693,0.822905566,1.215206265,1.215206265,0.822905566
